USER_ID,age,ind_nuevo,antiguedad,renta,segmento
15921,61,0,246,419503.62,01 - TOP
15929,70,0,246,289565.07,02 - PARTICULARES
15962,52,0,246,146947.74,02 - PARTICULARES
15996,65,0,246,444287.28,01 - TOP
16052,59,0,245,236628.45,02 - PARTICULARES
16067,62,0,245,403872.78,02 - PARTICULARES
16074,47,0,73,53478.18000000001,02 - PARTICULARES
16134,64,0,245,220179.21,02 - PARTICULARES
16147,58,0,245,314996.88,02 - PARTICULARES
16253,79,0,105,204733.14,02 - PARTICULARES
16296,53,0,244,248470.83,01 - TOP
16405,71,0,244,717982.6799999998,02 - PARTICULARES
16506,49,0,240,238395.33,02 - PARTICULARES
16534,53,0,243,464465.13,01 - TOP
16618,58,0,243,182471.73,02 - PARTICULARES
16637,52,0,243,245913.42,02 - PARTICULARES
16690,78,0,243,127325.7,02 - PARTICULARES
16708,49,0,228,78543.78,02 - PARTICULARES
16750,65,0,241,96086.13,01 - TOP
16758,46,0,240,101890.38,02 - PARTICULARES
16869,58,0,229,155498.58000000002,02 - PARTICULARES
16987,61,0,243,376513.08,01 - TOP
16998,65,0,242,84983.97,01 - TOP
17281,56,0,189,221967.39,01 - TOP
17297,62,0,212,95298.96,02 - PARTICULARES
17580,62,0,188,383785.14,02 - PARTICULARES
17810,57,0,242,142341.12,01 - TOP
17871,49,0,242,39975.96,02 - PARTICULARES
17940,66,0,238,275516.52,02 - PARTICULARES
17965,52,0,52,122361.38999999998,02 - PARTICULARES
17971,62,0,165,107293.2,02 - PARTICULARES
17979,66,0,193,186579.96,02 - PARTICULARES
18069,74,0,204,230125.83,01 - TOP
18540,68,0,242,122429.82,02 - PARTICULARES
18545,59,0,242,124327.13999999998,02 - PARTICULARES
18568,45,0,155,173251.38,02 - PARTICULARES
18631,51,0,242,216362.64,02 - PARTICULARES
18737,48,0,241,56853.75,02 - PARTICULARES
18763,96,0,241,341597.64,02 - PARTICULARES
18870,61,0,241,82774.20000000001,02 - PARTICULARES
18876,54,0,231,36789.81,01 - TOP
18882,53,0,233,186932.97,02 - PARTICULARES
19008,64,0,241,152601.99,02 - PARTICULARES
19109,70,0,241,195335.73,01 - TOP
19202,74,0,241,65361.54,02 - PARTICULARES
19231,54,0,241,86195.37,02 - PARTICULARES
19235,69,0,240,81801.03,02 - PARTICULARES
19236,59,0,126,267494.28,02 - PARTICULARES
19500,43,0,241,94901.85,02 - PARTICULARES
19555,75,0,192,90490.95,02 - PARTICULARES
19658,47,0,241,287659.71,01 - TOP
19834,52,0,241,328036.05000000005,02 - PARTICULARES
19926,56,0,241,266973.42,02 - PARTICULARES
19940,84,0,241,91891.5,02 - PARTICULARES
20183,51,0,241,135215.84999999998,02 - PARTICULARES
20198,58,0,240,122432.46,02 - PARTICULARES
20225,53,0,215,78068.49,02 - PARTICULARES
20360,50,0,183,375613.08,02 - PARTICULARES
20425,49,0,244,187976.13,02 - PARTICULARES
20545,76,0,240,167505.24,02 - PARTICULARES
20547,55,0,208,319562.07,02 - PARTICULARES
20599,81,0,214,115075.83,02 - PARTICULARES
20641,50,0,240,272462.91000000003,02 - PARTICULARES
20717,53,0,77,328226.19,02 - PARTICULARES
21080,46,0,205,127165.56,02 - PARTICULARES
21120,56,0,195,706085.3099999998,02 - PARTICULARES
